date_decision,date_period_end,horizon,asset,target_fwd_ret,regime,kpi_composite,Equities.mom_5,Equities.mom_10,Equities.mom_21,Equities.mom_63,Equities.mom_126,Equities.mom_252,Equities.ret_1,Equities.ret_5,Equities.ret_21,Equities.vol_21,Equities.vol_63,Equities.vol_126,Equities.rsi_14,Equities.macd,Equities.macd_signal,Equities.macd_hist,Equities.bb_pos,Equities.dd_raw,Equities.dd_21max,Equities.roll_sharpe_63,VIX,VIX3M,vix_ts_ratio,TNX,DXY,FVX,TYX,yc_slope,VIX_chg1,VIX_chg5,TNX_chg1,TNX_chg5,DXY_chg1,DXY_chg5,Gold.mom_5,Gold.mom_10,Gold.mom_21,Gold.mom_63,Gold.mom_126,Gold.mom_252,Gold.ret_1,Gold.ret_5,Gold.ret_21,Gold.vol_21,Gold.vol_63,Gold.vol_126,Gold.rsi_14,Gold.macd,Gold.macd_signal,Gold.macd_hist,Gold.bb_pos,Gold.dd_raw,Gold.dd_21max,Gold.roll_sharpe_63,REITs.mom_5,REITs.mom_10,REITs.mom_21,REITs.mom_63,REITs.mom_126,REITs.mom_252,REITs.ret_1,REITs.ret_5,REITs.ret_21,REITs.vol_21,REITs.vol_63,REITs.vol_126,REITs.rsi_14,REITs.macd,REITs.macd_signal,REITs.macd_hist,REITs.bb_pos,REITs.dd_raw,REITs.dd_21max,REITs.roll_sharpe_63,Bitcoin.mom_5,Bitcoin.mom_10,Bitcoin.mom_21,Bitcoin.mom_63,Bitcoin.mom_126,Bitcoin.mom_252,Bitcoin.ret_1,Bitcoin.ret_5,Bitcoin.ret_21,Bitcoin.vol_21,Bitcoin.vol_63,Bitcoin.vol_126,Bitcoin.rsi_14,Bitcoin.macd,Bitcoin.macd_signal,Bitcoin.macd_hist,Bitcoin.bb_pos,Bitcoin.dd_raw,Bitcoin.dd_21max,Bitcoin.roll_sharpe_63
2015-01-02,2015-01-09,W,Bitcoin,-0.07816355934034125,neutral,,,,,,,,,,,,,,,,,,,,,,17.790000915527344,19.459999084472656,0.9141830294186487,2.122999906539917,91.08000183105469,1.6180000305175781,2.697000026702881,1.0789999961853027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0024917184690256278,,,,,,,0.06246313546114379,0.012492627092228759,0.049970508368915034,,0.0,,
2015-01-02,2015-01-09,W,Equities,-0.013215514681326535,neutral,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,,,17.790000915527344,19.459999084472656,0.9141830294186487,2.122999906539917,91.08000183105469,1.6180000305175781,2.697000026702881,1.0789999961853027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-02,2015-01-09,W,Gold,0.027875177543257523,neutral,,,,,,,,,,,,,,,,,,,,,,17.790000915527344,19.459999084472656,0.9141830294186487,2.122999906539917,91.08000183105469,1.6180000305175781,2.697000026702881,1.0789999961853027,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-02,2015-01-09,W,REITs,0.035392776717946495,neutral,,,,,,,,,,,,,,,,,,,,,,17.790000915527344,19.459999084472656,0.9141830294186487,2.122999906539917,91.08000183105469,1.6180000305175781,2.697000026702881,1.0789999961853027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
2015-01-09,2015-01-16,W,Bitcoin,-0.28343224826922064,neutral,,,,,,,,,,,,,,,,,,,,,,17.549999237060547,19.31999969482422,0.9083850680267945,1.9709999561309814,91.94000244140625,1.4429999589920044,2.555999994277954,1.1130000352859497,0.03174597301073678,-0.013490818781089597,-0.022321466056633654,-0.07159677677832132,-0.004655194244775451,0.009442255084126883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09921831015362814,,,,,,0.024912706601556422,0.0992183101536277,,,,,,-7.808110393573202,-5.843697594230033,-1.9644127993431688,,-0.07816355934034114,,
2015-01-09,2015-01-16,W,Equities,0.027678170642464917,neutral,,,,,,,,0.006059844193054609,-0.013215514681326535,,,,,,-42.36399860330857,-23.34788277044813,-19.016115832860443,,-0.013215514681326535,,,17.549999237060547,19.31999969482422,0.9083850680267945,1.9709999561309814,91.94000244140625,1.4429999589920044,2.555999994277954,1.1130000352859497,0.03174597301073678,-0.013490818781089597,-0.022321466056633654,-0.07159677677832132,-0.004655194244775451,0.009442255084126883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-09,2015-01-16,W,Gold,0.04485753377971968,neutral,,,,,,,,,,,,,,,,,,,,,,17.549999237060547,19.31999969482422,0.9083850680267945,1.9709999561309814,91.94000244140625,1.4429999589920044,2.555999994277954,1.1130000352859497,0.03174597301073678,-0.013490818781089597,-0.022321466056633654,-0.07159677677832132,-0.004655194244775451,0.009442255084126883,,,,,,,0.011385196369055883,0.027875177543257523,,,,,,0.6530864013789142,0.336700962644525,0.3163854387343892,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-09,2015-01-16,W,REITs,0.02596019370057223,neutral,,,,,,,,,,,,,,,,,,,,,,17.549999237060547,19.31999969482422,0.9083850680267945,1.9709999561309814,91.94000244140625,1.4429999589920044,2.555999994277954,1.1130000352859497,0.03174597301073678,-0.013490818781089597,-0.022321466056633654,-0.07159677677832132,-0.004655194244775451,0.009442255084126883,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00047027731162319064,0.035392776717946495,,,,,,0.38461080629954125,0.16448609664559521,0.22012470965394604,,0.0,,,,,,,,,,,,,,,,,,,,,,
2015-01-16,2015-01-23,W,Bitcoin,0.11908868299940334,neutral,,,,,,,,,,,,,,,,,,,,,,20.950000762939453,21.149999618530273,0.9905437891632114,1.815000057220459,92.5199966430664,1.2829999923706055,2.434999942779541,1.1519999504089355,-0.06431436650126654,0.19373228909885554,0.022535257239210793,-0.07914759126466242,0.001840803159222082,0.006308398806382343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.21667922437151266,-0.27286861656110395,,,,,-0.00832520380537527,-0.21667922437151255,,,,,28.534946866428683,-25.47853237445969,-16.341606345350723,-9.136926029108967,,-0.3394417342530044,,
2015-01-16,2015-01-23,W,Equities,0.037797436170665444,neutral,,,0.047549287576856614,,,,,0.0023132877520259942,0.027678170642464917,,,,,,0.8381354492612445,-22.730751110908898,23.568886560170142,,0.0,,,20.950000762939453,21.149999618530273,0.9905437891632114,1.815000057220459,92.5199966430664,1.2829999923706055,2.434999942779541,1.1519999504089355,-0.06431436650126654,0.19373228909885554,0.022535257239210793,-0.07914759126466242,0.001840803159222082,0.006308398806382343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
