horizon,label,decision_date,period_start,period_end,exp_ret,realized_ret,expected_end_value_100k,realized_end_value_100k,turnover,btc_kpi,w_Equities,w_Gold,w_REITs,w_Bitcoin
monthly,2023-01,2022-12-31,2023-01-01,2023-01-31,0.016912202689049725,0.06624802490417991,101691.22026890497,106624.80249041799,0.47894091969568564,-0.2290729551892442,0.09386287348549051,0.812274253029019,0.046931436742745254,0.046931436742745254
monthly,2023-02,2023-01-31,2023-02-01,2023-02-28,0.04057745934635702,-0.03840143011250885,104057.7459346357,96159.85698874912,0.17248484193806848,0.6013623806270266,0.09248748011731703,0.641164804459124,0.06015587825989895,0.20619183716366007
monthly,2023-03,2023-02-28,2023-03-01,2023-03-31,0.048426328806137904,0.18238650822979263,104842.63288061379,118238.65082297927,0.5452685586034752,-0.037050309653624304,0.08932787957121135,0.1145477848760478,0.04466393978560568,0.7514603957671353
monthly,2023-04,2023-03-31,2023-04-01,2023-04-30,0.052067767567824094,0.018751455010182827,105206.7767567824,101875.14550101828,0.4283179919750818,0.5580330250259188,0.08903120934249362,0.5428657768511295,0.04451560467124681,0.32358740913513
monthly,2023-05,2023-04-30,2023-05-01,2023-05-31,0.02541946339769602,-0.005001716180915938,102541.94633976961,99499.8283819084,0.3916636395310431,0.08394176603927392,0.47718418336244617,0.30977302241809146,0.04802627018233741,0.16501652403712486
monthly,2023-06,2023-05-31,2023-06-01,2023-06-30,0.018417362266521888,0.038153268322063116,101841.73622665218,103815.32683220631,0.30383129741476367,0.02782939045791923,0.7810154807772098,0.09272651875028752,0.04636325937514376,0.07989474109735883
monthly,2023-07,2023-06-30,2023-07-01,2023-07-31,0.024526981092074317,0.016923442733456806,102452.69810920743,101692.34427334568,0.14064145867709085,0.5564078015824427,0.6406324972543498,0.09246804359605676,0.10897157864148316,0.15792788050811032
monthly,2023-08,2023-07-31,2023-08-01,2023-08-31,0.01593444502509224,-0.02898406325192915,101593.44450250923,97101.59367480708,0.11682479148754099,-0.3415340237853893,0.7552657748257559,0.0946595575121917,0.10274488890595665,0.04732977875609585
monthly,2023-09,2023-08-31,2023-09-01,2023-09-30,0.0024627356018686038,-0.03081529117219295,100246.27356018685,96918.4708827807,0.4858660339717367,-0.41797053617465346,0.2693997408540191,0.4723384490789127,0.21020956201583055,0.04805224805123774
monthly,2023-10,2023-09-30,2023-10-01,2023-10-31,-0.002994682302831475,0.12520569592263686,99700.53176971685,112520.56959226368,0.5345446355043952,0.22397765460414654,0.37178045721867337,0.09866891706023191,0.049334458530115956,0.4802161671909787
monthly,2023-11,2023-10-31,2023-11-01,2023-11-30,0.06558995950097134,0.060789089756558834,106558.99595009713,106078.90897565588,0.3419360054516551,0.5941131723048705,0.09382825714851338,0.44060492251188704,0.04691412857425669,0.4186526917653429
monthly,2023-12,2023-11-30,2023-12-01,2023-12-31,0.03680886854252272,0.06597661151478129,103680.88685425227,106597.66115147813,0.33639835358667575,0.4724829606908321,0.34182092932010205,0.3474133063841034,0.13531980998934381,0.17544595430645082
quarterly,Q2 2023,2023-03-31,2023-04-01,2023-06-30,0.13978326011765643,0.01308843589612807,113978.32601176565,101308.8435896128,0.35714285714285715,0.5580330250259188,0.09523809523809523,0.6256668818254655,0.047619047619047616,0.23147597531739164
quarterly,Q3 2023,2023-06-30,2023-07-01,2023-09-30,0.0780730645639473,-0.024420885161893224,107807.30645639474,97557.91148381068,0.5347893644980651,0.5564078015824427,0.5569529797419864,0.1251333763650931,0.12069352761322164,0.19722011627969893
quarterly,Q4 2023,2023-09-30,2023-10-01,2023-12-31,-0.008752284751388895,0.31391735757785977,99124.7715248611,131391.73575778597,0.2685116102387981,0.22397765460414654,0.39800802386433776,0.09084016641144348,0.04542008320572174,0.465731726518497
halfyear,H1 2023,2022-12-31,2023-01-01,2023-06-30,0.10027150882544095,0.08322584388897036,110027.15088254408,108322.58438889704,0.4790574645479513,-0.2290729551892442,0.09380460105935769,0.8123907978812847,0.04690230052967884,0.04690230052967884
halfyear,H2 2023,2023-06-30,2023-07-01,2023-12-31,0.1340459898827075,0.15984561112200635,113404.59898827075,115984.56111220064,0.6499126383050279,0.5564078015824427,0.557258173102205,0.16247815957625694,0.1217374753328269,0.15852619198871123
yearly,Y2023,2022-12-31,2023-01-01,2023-12-31,0.2007736934023077,0.18520209567100454,120077.36934023077,118520.20956710045,0.47909756805074866,-0.2290729551892442,0.09378454930795901,0.812430901384082,0.04689227465397951,0.04689227465397951
