Date,Equities,Gold,REITs,Bitcoin
2015-01-02,8395.4501953125,1186.0,54.10811996459961,315.0320129394531
2015-01-05,8378.400390625,1203.9000244140625,54.40426254272461,274.4739990234375
2015-01-06,8127.35009765625,1219.300048828125,54.94388961791992,286.1889953613281
2015-01-07,8102.10009765625,1210.5999755859375,55.7862548828125,294.3370056152344
2015-01-08,8234.599609375,1208.4000244140625,55.9968376159668,283.3489990234375
2015-01-09,8284.5,1216.0,56.02317428588867,290.4079895019531
2015-01-12,8323.0,1232.699951171875,56.450927734375,267.7959899902344
2015-01-13,8299.400390625,1234.300048828125,56.36538314819336,225.86099243164062
2015-01-14,8277.5498046875,1234.4000244140625,56.85237121582031,178.10299682617188
2015-01-15,8494.150390625,1264.699951171875,56.983978271484375,209.843994140625
2015-01-16,8513.7998046875,1276.9000244140625,57.477542877197266,208.0970001220703
2015-01-20,8695.599609375,1294.199951171875,57.023475646972656,211.31500244140625
2015-01-21,8729.5,1293.699951171875,56.983978271484375,226.89700317382812
2015-01-22,8761.400390625,1300.699951171875,57.99745178222656,233.406005859375
2015-01-23,8835.599609375,1292.5999755859375,57.83293533325195,232.87899780273438
2015-01-27,8910.5,1291.699951171875,58.33964920043945,263.4750061035156
2015-01-28,8914.2998046875,1285.9000244140625,57.95138168334961,233.9149932861328
2015-01-29,8952.349609375,1254.5999755859375,58.15536880493164,233.51300048828125
2015-01-30,8808.900390625,1278.5,56.95764923095703,226.4250030517578
2015-02-02,8797.400390625,1276.199951171875,56.80630111694336,238.22900390625
2015-02-03,8756.5498046875,1259.699951171875,57.29987716674805,227.26800537109375
2015-02-04,8723.7001953125,1263.800048828125,57.062957763671875,226.85299682617188
2015-02-05,8711.7001953125,1262.0,57.747379302978516,217.11099243164062
2015-02-06,8661.0498046875,1233.9000244140625,56.06924057006836,222.26600646972656
2015-02-09,8526.349609375,1240.800048828125,55.67438507080078,220.11000061035156
2015-02-10,8565.5498046875,1231.5999755859375,55.852081298828125,219.83900451660156
2015-02-11,8627.400390625,1219.0,55.68754959106445,219.18499755859375
2015-02-12,8711.5498046875,1220.0999755859375,56.35221481323242,221.76400756835938
2015-02-13,8805.5,1226.5,55.977115631103516,235.427001953125
2015-02-18,8869.099609375,1199.699951171875,56.35881423950195,236.3260040283203
2015-02-19,8895.2998046875,1207.0999755859375,55.14789962768555,240.2830047607422
2015-02-20,8833.599609375,1204.4000244140625,55.68095779418945,243.7790069580078
2015-02-23,8754.9501953125,1200.300048828125,56.12845993041992,238.89199829101562
2015-02-24,8762.099609375,1196.9000244140625,55.02288818359375,238.73500061035156
2015-02-25,8767.25,1201.0,55.036048889160156,237.47000122070312
2015-02-26,8683.849609375,1209.5999755859375,54.43716812133789,236.42599487304688
2015-02-27,8844.599609375,1212.5999755859375,54.86494445800781,253.8280029296875
2015-03-02,8956.75,1207.699951171875,55.18082046508789,275.6700134277344
2015-03-03,8996.25,1204.0,55.075531005859375,281.7019958496094
2015-03-04,8922.650390625,1200.5999755859375,54.54904556274414,273.0920104980469
2015-03-05,8937.75,1195.9000244140625,54.706966400146484,276.1780090332031
2015-03-09,8756.75,1166.4000244140625,53.31184768676758,289.60699462890625
2015-03-10,8712.0498046875,1160.0999755859375,53.2723503112793,291.760009765625
2015-03-11,8699.9501953125,1150.699951171875,53.318424224853516,296.3789978027344
2015-03-12,8776.0,1152.0999755859375,54.246337890625,294.35400390625
2015-03-13,8647.75,1152.5999755859375,54.21342468261719,285.3370056152344
2015-03-16,8633.150390625,1153.300048828125,54.77278518676758,290.5929870605469
2015-03-17,8723.2998046875,1148.300048828125,54.7530632019043,285.5050048828125
2015-03-18,8685.900390625,1151.4000244140625,55.89814758300781,256.29901123046875
2015-03-19,8634.650390625,1169.0999755859375,55.87180709838867,260.9280090332031
2015-03-20,8570.900390625,1184.800048828125,57.27354431152344,261.7489929199219
2015-03-23,8550.900390625,1188.0,57.2011604309082,266.739990234375
2015-03-24,8542.9501953125,1191.699951171875,56.714168548583984,245.59500122070312
2015-03-25,8530.7998046875,1197.300048828125,55.73569107055664,246.19700622558594
2015-03-26,8342.150390625,1205.0999755859375,55.44440460205078,248.53199768066406
2015-03-27,8341.400390625,1199.800048828125,55.517242431640625,247.0290069580078
2015-03-30,8492.2998046875,1184.800048828125,56.31166458129883,247.5260009765625
2015-03-31,8491.0,1183.0999755859375,55.815147399902344,244.2239990234375
2015-04-01,8586.25,1208.0999755859375,55.73569107055664,247.27200317382812
2015-04-06,8659.900390625,1218.5999755859375,56.74196243286133,255.49200439453125
2015-04-07,8660.2998046875,1210.5999755859375,55.742305755615234,253.17999267578125
2015-04-08,8714.400390625,1203.0999755859375,55.82838439941406,245.02200317382812
2015-04-09,8778.2998046875,1193.5999755859375,54.66981887817383,243.67599487304688
2015-04-10,8780.349609375,1204.5999755859375,54.6301155090332,236.07200622558594
2015-04-13,8834.0,1199.300048828125,54.48447799682617,224.58700561523438
2015-04-16,8706.7001953125,1198.0,54.40502166748047,228.572998046875
2015-04-17,8606.0,1202.9000244140625,54.15346145629883,222.8820037841797
2015-04-20,8448.099609375,1193.5,54.23290252685547,224.62600708007812
2015-04-21,8377.75,1202.9000244140625,54.32556915283203,235.2689971923828
2015-04-22,8429.7001953125,1186.9000244140625,54.43813705444336,234.17599487304688
2015-04-23,8398.2998046875,1194.4000244140625,54.583763122558594,236.46200561523438
2015-04-24,8305.25,1175.199951171875,54.696311950683594,231.26800537109375
2015-04-27,8213.7998046875,1203.300048828125,54.62348937988281,229.28599548339844
